순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사
89,검은 사제들,2015-11-05,42412952592,5443232,1109,131179,한국,한국,(주)씨제이이엔엠
90,안시성,2018-09-19,46342006026,5441020,1540,110444,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
91,의형제,2010-02-04,40154381000,5416923,569,118251,한국,한국,(주)쇼박스
92,블랙 팬서,2018-02-14,45885729957,5399327,1620,119180,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
93,2012,2009-11-12,38941723000,5397597,856,89309,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
94,더 킹,2017-01-18,43492782535,5318007,1310,107986,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
95,완득이,2011-10-20,38533831000,5311353,629,117850,한국,한국,(주)씨제이이엔엠
96,트랜스포머: 사라진 시대,2014-06-25,44012752845,5295836,1602,107875,미국,미국,(주)씨제이이엔엠
97,완벽한 타인,2018-10-31,44356976474,5294154,1325,143075,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
98,조커,2019-10-02,45443092130,5255308,1418,148270,미국,미국,워너브러더스 코리아(주)
99,월드 워 Z,2013-06-20,38589794000,5244336,964,102831,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
100,타워,2012-12-25,37656008000,5181244,638,81151,한국,한국,(주)씨제이이엔엠
101,미녀와 야수,2017-03-16,42253148459,5156372,1627,142729,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
102,미션 임파서블 3,2006-05-03,32155201400,5127047,441,72584,미국,미국,UIP코리아
103,투사부일체,2006-01-19,31959686000,5074314,407,54339,한국,한국,CJ ENM
104,쿵푸팬더 2,2011-05-26,44310427500,5064796,948,101447,미국,미국,(주)씨제이이엔엠
105,독전,2018-05-22,43491762113,5064323,1532,140052,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
106,추격자,2008-02-14,33986959000,5046096,433,106805,한국,한국,(주)쇼박스
107,아쿠아맨,2018-12-19,44145008504,5041187,1285,105440,미국,"미국,호주",워너브러더스 코리아(주)
108,공작,2018-08-08,42795690816,4975517,1317,99122,한국,한국,(주)씨제이이엔엠
109,인사이드 아웃,2015-07-09,38024694936,4969735,931,84000,미국,미국,월트디즈니컴퍼니코리아(주)
110,킹스맨: 골든 서클,2017-09-27,40987484736,4945484,1687,95922,미국,"미국,영국",이십세기폭스코리아(주)
111,바람과 함께 사라지다,2012-08-08,34614720161,4909950,694,78594,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
112,마션,2015-10-08,39702034175,4887144,1132,115967,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
113,토르: 라그나로크,2017-10-25,39261266595,4858572,1640,137496,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
114,어메이징 스파이더맨,2012-06-28,41165656235,4853273,1118,92766,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
115,"님아, 그 강을 건너지 마오",2014-11-27,37360010579,4802602,806,93555,한국,한국,"CGV아트하우스,(주)대명문화공장"
116,봉오동 전투,2019-08-07,40588894538,4787579,1476,107032,한국,한국,(주)쇼박스
117,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,35841769500,4786259,634,84189,한국,한국,(주)쇼박스
118,군도: 민란의 시대,2014-07-23,36990394499,4775811,1394,67259,한국,한국,(주)쇼박스
119,남산의 부장들,2020-01-22,41225216650,4750345,1659,140051,한국,한국,(주)쇼박스
120,라이온 킹,2019-07-17,41519732430,4743295,1936,126503,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
121,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,36540977500,4720172,713,91915,한국,한국,(주)쇼박스
122,엣지 오브 투모로우,2014-06-04,38786998201,4706213,801,95776,미국,미국,워너브러더스 코리아(주)
123,주토피아,2016-02-17,37096057742,4706158,735,131005,미국,미국,월트디즈니컴퍼니코리아(주)
124,신세계,2013-02-21,34922954285,4689539,671,91741,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
125,신비한 동물사전,2016-11-16,39339534058,4667179,1431,115843,미국,"미국,영국",워너브러더스 코리아(주)
126,도가니,2011-09-22,35567476000,4662926,756,88345,한국,한국,(주)씨제이이엔엠
127,쿵푸 팬더,2008-06-05,29998150000,4654266,563,79902,미국,미국,CJ ENM
128,내 아내의 모든 것,2012-05-17,34224467500,4598985,563,91777,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
129,스파이더맨 3,2007-05-01,29511658000,4592309,806,79966,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
130,판도라,2016-12-07,36069197064,4585116,1184,100273,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
131,맘마미아!,2008-09-03,29697221850,4579773,451,111827,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
